name,upperLength,clothesStyles,hairStyles,lowerLength,lowerStyles,shoesStyles,towards,upperBlack,upperBrown,upperBlue,upperGreen,upperGray,upperOrange,upperPink,upperPurple,upperRed,upperWhite,upperYellow,lowerBlack,lowerBrown,lowerBlue,lowerGreen,lowerGray,lowerOrange,lowerPink,lowerPurple,lowerRed,lowerWhite,lowerYellow
img_qh_test2A_00000009445.jpg,LongSleeve,multicolour,Short,Trousers,Solidcolor,Sneaker,front,,,,,,,,,,,,1,,,,,,,,,,
img_qh_test2A_00001002927.jpg,LongSleeve,Solidcolor,Long,Trousers,Solidcolor,Sneaker,front,,,,,,,,1,,,,,,,,,,,,,,
img_qh_test2A_00002004891.jpg,ShortSleeve,Solidcolor,Short,Trousers,Solidcolor,Sneaker,front,1,,,,,,,,,,,1,,,,,,,,,,
img_qh_test2A_00003004914.jpg,ShortSleeve,Solidcolor,Long,Trousers,Solidcolor,Sandals,front,,,,1,,,,,,,,,,,,,,,,,1,
img_qh_test2A_00004001066.jpg,LongSleeve,Solidcolor,middle,Trousers,Solidcolor,Sneaker,front,,,,,,,,,,1,,1,,,,,,,,,,
img_qh_test2A_00005001537.jpg,LongSleeve,Solidcolor,Long,Trousers,Solidcolor,Sneaker,front,,,,,1,,,,,,,,,1,,,,,,,,
img_qh_test2A_00006009827.jpg,LongSleeve,Solidcolor,Long,Skirt,Solidcolor,Sandals,front,,,,,,,,,,1,,,,,,,,,,,1,
img_qh_test2A_00007001315.jpg,LongSleeve,multicolour,Short,Trousers,Solidcolor,Sneaker,back,,,,,,,,,,,,,,1,,,,,,,,
img_qh_test2A_00008000808.jpg,LongSleeve,multicolour,Short,Trousers,Solidcolor,Sneaker,back,1,,,,,,,,,,,1,,,,,,,,,,
img_qh_test2A_00009004915.jpg,LongSleeve,multicolour,Long,Skirt,multicolour,Sneaker,back,,,,,,,,,,,,,,,,,,,,1,,
img_qh_test2A_00010005132.jpg,LongSleeve,multicolour,Short,Trousers,Solidcolor,Sneaker,front,,,,,,,,,,,,,,,,,,,,,1,
img_qh_test2A_00011006427.jpg,LongSleeve,Solidcolor,Long,Trousers,Solidcolor,Sneaker,front,,,,,,,1,,,,,,,,,1,,,,,,
img_qh_test2A_00012003600.jpg,LongSleeve,multicolour,Short,Trousers,Solidcolor,Sneaker,front,,,,,,,,,,,,,,1,,,,,,,,
