name,upperLength,clothesStyles,hairStyles,upperBlack,upperBrown,upperBlue,upperGreen,upperGray,upperOrange,upperPink,upperPurple,upperRed,upperWhite,upperYellow
img_qh_test1A_00000003194.jpg,LongSleeve,Solidcolor,Short,,,,,1,,,,,,
img_qh_test1A_00001001545.jpg,ShortSleeve,multicolour,Long,,,,,,,,,,1,
img_qh_test1A_00002006095.jpg,LongSleeve,multicolour,Long,1,,,,,,,,,1,
img_qh_test1A_00003009621.jpg,LongSleeve,Solidcolor,Long,,,,,,,,,1,,
img_qh_test1A_00004007347.jpg,LongSleeve,multicolour,Long,1,,,,,,,,,1,
img_qh_test1A_00005006615.jpg,LongSleeve,Solidcolor,Short,,,1,,1,,,,,,
img_qh_test1A_00006001466.jpg,LongSleeve,Solidcolor,Short,,,,,,,,,,1,
img_qh_test1A_00007008220.jpg,LongSleeve,Solidcolor,Long,,,,,,1,1,,,,
img_qh_test1A_00008007148.jpg,LongSleeve,Solidcolor,Long,,,,,,,,,,1,
img_qh_test1A_00009007209.jpg,LongSleeve,Solidcolor,Short,,,,,,,1,,,,
img_qh_test1A_00010006686.jpg,LongSleeve,Solidcolor,Short,,,,,,,,,,1,
img_qh_test1A_00011003315.jpg,LongSleeve,multicolour,Long,1,,,,,,,,,1,
img_qh_test1A_00012001077.jpg,LongSleeve,Solidcolor,Short,,,,,,,,,,1,
img_qh_test1A_00013004811.jpg,ShortSleeve,Solidcolor,Short,1,,,,,,,,,,
img_qh_test1A_00014006410.jpg,LongSleeve,Solidcolor,Long,,,,,,,,,,,1
img_qh_test1A_00015009459.jpg,LongSleeve,multicolour,middle,1,,,,1,,,,,,
img_qh_test1A_00016005982.jpg,LongSleeve,multicolour,Long,,,,,,,,,,,
img_qh_test1A_00017009755.jpg,LongSleeve,multicolour,Short,1,,,,1,,,,,,
img_qh_test1A_00018005288.jpg,LongSleeve,Solidcolor,Short,,,,,1,,,,,,
img_qh_test1A_00019000762.jpg,LongSleeve,Solidcolor,middle,,,,,1,,,,,,
img_qh_test1A_00020008537.jpg,LongSleeve,Solidcolor,Short,,,1,,,,,,,,
img_qh_test1A_00021008947.jpg,ShortSleeve,Solidcolor,Short,,,,,,,,,,1,
img_qh_test1A_00022004183.jpg,LongSleeve,Solidcolor,Short,1,,,,,,,,,,
img_qh_test1A_00023006585.jpg,ShortSleeve,lattice,Short,1,,,,,,,,,1,
img_qh_test1A_00024005865.jpg,LongSleeve,Solidcolor,Short,1,,,,,,,,,,
img_qh_test1A_00025000278.jpg,LongSleeve,Solidcolor,Short,1,,,,,,,,,,
img_qh_test1A_00026001999.jpg,LongSleeve,Solidcolor,Short,,,1,,1,,,,,,
img_qh_test1A_00027001666.jpg,ShortSleeve,Solidcolor,Long,,,,,1,,,,,1,
img_qh_test1A_00028000511.jpg,LongSleeve,Solidcolor,Long,,,,,,,,,,1,
img_qh_test1A_00029005871.jpg,LongSleeve,Solidcolor,Long,,,,,,,1,,,,
img_qh_test1A_00030005887.jpg,ShortSleeve,Solidcolor,Long,,,,,,,,,,1,
img_qh_test1A_00031006123.jpg,LongSleeve,multicolour,Long,,,,,1,,,,,,1
img_qh_test1A_00032002334.jpg,LongSleeve,Solidcolor,Long,,,,,,,,,,1,
img_qh_test1A_00033002376.jpg,LongSleeve,Solidcolor,Long,,,,,1,,,,,1,
img_qh_test1A_00034003322.jpg,LongSleeve,Solidcolor,Long,,,,,,,,,1,,
img_qh_test1A_00035001027.jpg,LongSleeve,Solidcolor,Short,,,,,1,,,,,,
img_qh_test1A_00036000933.jpg,ShortSleeve,Solidcolor,Short,1,,,,1,,,,,,
img_qh_test1A_00037001585.jpg,LongSleeve,Solidcolor,Short,,,,,,,,,,1,
img_qh_test1A_00038003267.jpg,ShortSleeve,Solidcolor,Short,1,,,,,,,,,,
img_qh_test1A_00039008439.jpg,LongSleeve,multicolour,Long,,1,,,,,,,,1,
img_qh_test1A_00040006767.jpg,LongSleeve,Solidcolor,Short,1,,,,,,,,,,
